settlement_id,from_user_id,to_user_id,group_id,amount,date,status,note
STL_00000001,USR_0450,USR_0491,GRP_0001,13.05,2018-06-15,completed,Settlement for friends expenses
STL_00000002,USR_0450,USR_0543,GRP_0001,17.33,2018-08-14,completed,Payment for shared expenses
STL_00000003,USR_0491,USR_0543,GRP_0001,10.65,2018-08-14,completed,Settlement for friends expenses
STL_00000004,USR_0491,USR_0543,GRP_0001,10.65,2018-10-13,completed,Monthly settlement for Weekend Warriors
STL_00000005,USR_0491,USR_0450,GRP_0001,36.47,2018-12-12,completed,Settlement for friends expenses
STL_00000006,USR_0491,USR_0450,GRP_0001,67.69,2019-02-10,completed,Clearing balance - February 2019
STL_00000007,USR_0491,USR_0450,GRP_0001,230.58,2019-04-11,completed,Clearing balance - April 2019
STL_00000008,USR_0491,USR_0543,GRP_0001,237.76,2019-06-10,completed,Settlement for friends expenses
STL_00000009,USR_0491,USR_0450,GRP_0001,192.82,2019-06-10,completed,Clearing balance - June 2019
STL_00000010,USR_0491,USR_0543,GRP_0001,194.74,2019-08-09,completed,Settlement for friends expenses
STL_00000011,USR_0491,USR_0450,GRP_0001,139.96,2019-08-09,completed,Clearing balance - August 2019
STL_00000012,USR_0491,USR_0450,GRP_0001,278.73,2019-10-08,completed,Monthly settlement for Weekend Warriors
STL_00000013,USR_0491,USR_0450,GRP_0001,157.73,2019-12-07,completed,Clearing balance - December 2019
STL_00000014,USR_0543,USR_0450,GRP_0001,41.94,2019-12-07,rejected,Monthly settlement for Weekend Warriors
STL_00000015,USR_0543,USR_0450,GRP_0001,126.2,2020-02-05,completed,Clearing balance - February 2020
STL_00000016,USR_0543,USR_0450,GRP_0001,23.69,2020-04-05,completed,Clearing balance - April 2020
STL_00000017,USR_0491,USR_0543,GRP_0001,152.47,2020-06-04,completed,Clearing balance - June 2020
STL_00000018,USR_0450,USR_0543,GRP_0001,6.54,2020-06-04,completed,Monthly settlement for Weekend Warriors
STL_00000019,USR_0450,USR_0491,GRP_0001,123.34,2020-08-03,completed,Monthly settlement for Weekend Warriors
STL_00000020,USR_0543,USR_0491,GRP_0001,70.9,2020-08-03,completed,Monthly settlement for Weekend Warriors
STL_00000021,USR_0543,USR_0491,GRP_0001,77.6,2020-10-02,pending,Payment for shared expenses
STL_00000022,USR_0450,USR_0491,GRP_0001,21.99,2020-10-02,completed,Settlement for friends expenses
STL_00000023,USR_0450,USR_0543,GRP_0001,202.82,2020-12-01,completed,Monthly settlement for Weekend Warriors
STL_00000024,USR_0450,USR_0491,GRP_0001,26.83,2020-12-01,completed,Settlement for friends expenses
STL_00000025,USR_0450,USR_0543,GRP_0001,274.57,2021-01-30,completed,Clearing balance - January 2021
STL_00000026,USR_0450,USR_0491,GRP_0001,227.54,2021-01-30,completed,Clearing balance - January 2021
STL_00000027,USR_0450,USR_0491,GRP_0001,345.57,2021-03-31,completed,Payment for shared expenses
STL_00000028,USR_0450,USR_0543,GRP_0001,19.58,2021-03-31,completed,Settlement for friends expenses
STL_00000029,USR_0450,USR_0491,GRP_0001,155.55,2021-05-30,completed,Clearing balance - May 2021
STL_00000030,USR_0450,USR_0543,GRP_0001,36.29,2021-05-30,completed,Clearing balance - May 2021
STL_00000031,USR_0450,USR_0491,GRP_0001,118.26,2021-07-29,completed,Monthly settlement for Weekend Warriors
STL_00000032,USR_0260,USR_0491,GRP_0001,87.69,2022-01-25,completed,Payment for shared expenses
STL_00000033,USR_0260,USR_0491,GRP_0001,172.05,2022-03-26,completed,Settlement for friends expenses
STL_00000034,USR_0260,USR_0491,GRP_0001,57.05,2022-05-25,completed,Payment for shared expenses
STL_00000035,USR_0543,USR_0491,GRP_0001,164.77,2022-11-21,completed,Monthly settlement for Weekend Warriors
STL_00000036,USR_0450,USR_0491,GRP_0001,174.83,2023-01-20,completed,Settlement for friends expenses
STL_00000037,USR_0450,USR_0260,GRP_0001,77.84,2023-01-20,completed,Payment for shared expenses
STL_00000038,USR_0450,USR_0260,GRP_0001,134.88,2023-03-21,completed,Clearing balance - March 2023
STL_00000039,USR_0719,USR_0260,GRP_0001,275.36,2023-05-20,pending,Monthly settlement for Weekend Warriors
STL_00000040,USR_0719,USR_0260,GRP_0001,142.5,2023-07-19,completed,Settlement for friends expenses
STL_00000041,USR_0719,USR_0260,GRP_0001,315.71,2023-09-17,completed,Payment for shared expenses
STL_00000042,USR_0719,USR_0260,GRP_0001,446.62,2023-11-16,completed,Clearing balance - November 2023
STL_00000043,USR_0719,USR_0491,GRP_0001,111.67,2023-11-16,completed,Monthly settlement for Weekend Warriors
STL_00000044,USR_0450,USR_0260,GRP_0001,462.45,2024-01-15,completed,Settlement for friends expenses
STL_00000045,USR_0450,USR_0260,GRP_0001,527.25,2024-03-15,pending,Clearing balance - March 2024
STL_00000046,USR_0450,USR_0260,GRP_0001,269.9,2024-05-14,completed,Payment for shared expenses
STL_00000047,USR_0719,USR_0491,GRP_0001,310.64,2024-11-10,completed,Monthly settlement for Weekend Warriors
STL_00000048,USR_0719,USR_0260,GRP_0001,67.29,2024-11-10,completed,Payment for shared expenses
STL_00000049,USR_0450,USR_0491,GRP_0001,295.9,2025-01-09,completed,Monthly settlement for Weekend Warriors
STL_00000050,USR_0450,USR_0491,GRP_0001,319.57,2025-03-10,completed,Clearing balance - March 2025
STL_00000051,USR_0450,USR_0491,GRP_0001,433.23,2025-05-09,pending,Clearing balance - May 2025
