user_id,age,occupation_type,city_tier,monthly_income_npr,income_type,family_dependency_count,rent_status,financial_persona,activity_rate,spend_multiplier,saving_rate,shared_tendency,city_price_multiplier
NPU_00001,22,high,major_city,143500.0,fixed,0,owner,high_social_spender,0.76,1.35,0.05,0.7,1.05
NPU_00002,51,high,town,94100.0,fixed,1,renter,high_social_spender,0.76,1.35,0.05,0.7,0.88
NPU_00003,44,festival,town,139400.0,fixed,0,family_home,festival_spike_user,0.58,1.02,0.08,0.48,0.88
NPU_00004,39,student,town,18500.0,fixed,3,renter,student_low_budget,0.46,0.55,0.04,0.45,0.88
NPU_00005,54,debt,rural,61200.0,fixed,1,renter,debt_repayment_user,0.5,0.82,0.02,0.22,0.72
NPU_00006,27,salaried,town,161500.0,fixed,4,renter,salaried_balanced,0.62,1.0,0.14,0.35,0.88
NPU_00007,40,salaried,major_city,162800.0,fixed,1,renter,salaried_family_support,0.58,1.06,0.08,0.28,1.05
NPU_00008,24,business_owner,major_city,209000.0,mixed,3,family_home,business_owner_cash_heavy,0.72,1.55,0.12,0.3,1.05
NPU_00009,48,salaried,kathmandu_valley,141300.0,fixed,0,renter,salaried_family_support,0.58,1.06,0.08,0.28,1.25
NPU_00010,24,high,town,42600.0,fixed,3,renter,high_social_spender,0.76,1.35,0.05,0.7,0.88
NPU_00011,39,freelancer,kathmandu_valley,210500.0,irregular,1,family_home,freelancer_irregular_income,0.55,0.95,0.1,0.32,1.25
NPU_00012,50,high,major_city,131100.0,fixed,2,renter,high_social_spender,0.76,1.35,0.05,0.7,1.05
NPU_00013,31,student,major_city,30500.0,fixed,3,renter,student_low_budget,0.46,0.55,0.04,0.45,1.05
NPU_00014,37,student,kathmandu_valley,20500.0,fixed,2,family_home,student_low_budget,0.46,0.55,0.04,0.45,1.25
NPU_00015,38,high,town,80100.0,fixed,0,renter,high_social_spender,0.76,1.35,0.05,0.7,0.88
NPU_00016,57,student,town,24800.0,fixed,0,family_home,student_low_budget,0.46,0.55,0.04,0.45,0.88
NPU_00017,25,salaried,town,93700.0,fixed,1,family_home,salaried_balanced,0.62,1.0,0.14,0.35,0.88
NPU_00018,36,salaried,kathmandu_valley,45000.0,fixed,4,owner,salaried_family_support,0.58,1.06,0.08,0.28,1.25
NPU_00019,30,business_owner,kathmandu_valley,316700.0,mixed,2,renter,business_owner_cash_heavy,0.72,1.55,0.12,0.3,1.25
NPU_00020,55,salaried,kathmandu_valley,53900.0,fixed,1,renter,salaried_balanced,0.62,1.0,0.14,0.35,1.25
NPU_00021,40,salaried,major_city,46900.0,fixed,3,family_home,salaried_balanced,0.62,1.0,0.14,0.35,1.05
NPU_00022,59,salaried,major_city,211200.0,fixed,2,renter,salaried_family_support,0.58,1.06,0.08,0.28,1.05
NPU_00023,27,salaried,kathmandu_valley,184800.0,fixed,0,renter,salaried_family_support,0.58,1.06,0.08,0.28,1.25
NPU_00024,33,freelancer,kathmandu_valley,55600.0,irregular,2,renter,freelancer_irregular_income,0.55,0.95,0.1,0.32,1.25
NPU_00025,38,freelancer,kathmandu_valley,41200.0,irregular,3,renter,freelancer_irregular_income,0.55,0.95,0.1,0.32,1.25
NPU_00026,41,salaried,major_city,109900.0,fixed,2,renter,salaried_family_support,0.58,1.06,0.08,0.28,1.05
NPU_00027,58,salaried,kathmandu_valley,51700.0,fixed,0,family_home,salaried_balanced,0.62,1.0,0.14,0.35,1.25
NPU_00028,39,rent,kathmandu_valley,30600.0,fixed,0,family_home,rent_pressure_user,0.52,0.9,0.03,0.4,1.25
NPU_00029,63,salaried,town,161500.0,fixed,0,owner,salaried_balanced,0.62,1.0,0.14,0.35,0.88
NPU_00030,54,salaried,kathmandu_valley,43600.0,fixed,1,family_home,salaried_balanced,0.62,1.0,0.14,0.35,1.25
NPU_00031,48,high,kathmandu_valley,158600.0,fixed,1,renter,high_social_spender,0.76,1.35,0.05,0.7,1.25
NPU_00032,31,festival,kathmandu_valley,58400.0,fixed,1,owner,festival_spike_user,0.58,1.02,0.08,0.48,1.25
NPU_00033,28,rent,town,59000.0,fixed,1,renter,rent_pressure_user,0.52,0.9,0.03,0.4,0.88
NPU_00034,60,high,town,174600.0,fixed,0,family_home,high_social_spender,0.76,1.35,0.05,0.7,0.88
NPU_00035,19,salaried,rural,35000.0,fixed,3,renter,salaried_balanced,0.62,1.0,0.14,0.35,0.72
NPU_00036,23,salaried,major_city,35400.0,fixed,1,family_home,salaried_balanced,0.62,1.0,0.14,0.35,1.05
NPU_00037,62,debt,major_city,70800.0,fixed,0,renter,debt_repayment_user,0.5,0.82,0.02,0.22,1.05
NPU_00038,18,business_owner,kathmandu_valley,150900.0,mixed,2,family_home,business_owner_cash_heavy,0.72,1.55,0.12,0.3,1.25
NPU_00039,22,salaried,town,107600.0,fixed,0,renter,salaried_balanced,0.62,1.0,0.14,0.35,0.88
NPU_00040,53,festival,major_city,62600.0,fixed,1,family_home,festival_spike_user,0.58,1.02,0.08,0.48,1.05
NPU_00041,41,festival,kathmandu_valley,51100.0,fixed,2,family_home,festival_spike_user,0.58,1.02,0.08,0.48,1.25
NPU_00042,19,student,kathmandu_valley,21500.0,fixed,4,family_home,student_low_budget,0.46,0.55,0.04,0.45,1.25
NPU_00043,48,festival,town,33500.0,fixed,0,renter,festival_spike_user,0.58,1.02,0.08,0.48,0.88
NPU_00044,55,rent,town,28000.0,fixed,2,family_home,rent_pressure_user,0.52,0.9,0.03,0.4,0.88
